Room ID,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates
23863938,147652234,Chaoyang,Entire home/apt,398,1,6,2/19/2019,0.35,5,364,9/23/2019,Beijing,China,"39.8952155567, 116.46591907"
23914071,19772308,Chaoyang,Entire home/apt,418,1,1,4/1/2018,0.06,1,0,9/23/2019,Beijing,China,"39.9577003398, 116.443189661"
23915836,158663144,Chaoyang,Entire home/apt,397,20,49,6/12/2019,2.74,9,3,9/23/2019,Beijing,China,"39.891989506, 116.44585669"
24186440,94142508,Chaoyang,Entire home/apt,518,1,0,,,7,365,9/23/2019,Beijing,China,"39.9265754348, 116.615418345"
24274046,29488633,Chaoyang,Private room,171,1,15,8/30/2019,0.85,27,358,9/23/2019,Beijing,China,"39.9975167474, 116.464205076"
24280232,42227491,Chaoyang,Private room,348,3,18,4/4/2019,1.02,13,355,9/23/2019,Beijing,China,"39.9055465921, 116.476018279"
24434310,69955838,Chaoyang,Entire home/apt,455,1,18,9/18/2019,1.47,1,94,9/23/2019,Beijing,China,"39.9331540173, 116.45231878"
24451470,184230719,Chaoyang,Private room,171,1,21,12/23/2018,1.23,5,81,9/23/2019,Beijing,China,"39.9923770959, 116.436307403"
24712308,150934173,Chaoyang,Entire home/apt,277,1,3,5/17/2018,0.18,2,0,9/23/2019,Beijing,China,"39.965230094, 116.493483945"
24950778,50028943,Chaoyang,Entire home/apt,901,15,1,2/6/2019,0.13,4,351,9/23/2019,Beijing,China,"39.9070177438, 116.476066802"
24974302,188435562,Chaoyang,Shared room,156,1,1,5/21/2018,0.06,1,88,9/23/2019,Beijing,China,"40.0248403604, 116.446587961"
25266486,29475979,Chaoyang,Entire home/apt,697,3,21,9/2/2019,1.68,3,78,9/23/2019,Beijing,China,"39.8964838955, 116.467513175"
25299852,86863100,Chaoyang,Shared room,100,3,2,8/28/2018,0.13,1,179,9/23/2019,Beijing,China,"39.9239068936, 116.587077537"
25337594,84633406,Chaoyang,Entire home/apt,690,1,6,12/25/2018,0.37,18,77,9/23/2019,Beijing,China,"39.8951339618, 116.445272632"
25364419,128026967,Chaoyang,Entire home/apt,560,30,79,8/21/2019,4.95,2,183,9/23/2019,Beijing,China,"39.9404216614, 116.454507781"
25465052,141055576,Chaoyang,Shared room,199,2,0,,,1,85,9/23/2019,Beijing,China,"39.966531108, 116.457795853"
25664125,86810967,Chaoyang,Entire home/apt,498,1,20,9/7/2019,1.29,1,350,9/23/2019,Beijing,China,"39.8937388378, 116.458446001"
25741511,45203646,Chaoyang,Entire home/apt,597,1,0,,,45,358,9/23/2019,Beijing,China,"39.9110868625, 116.494316442"
25906445,176524980,Chaoyang,Entire home/apt,498,1,35,9/3/2019,2.28,12,89,9/23/2019,Beijing,China,"39.9590245025, 116.443178541"
26017181,46813909,Chaoyang,Private room,227,2,1,8/10/2019,0.67,2,77,9/23/2019,Beijing,China,"40.0475531022, 116.432544236"
26116356,188398827,Chaoyang,Entire home/apt,597,1,1,4/3/2019,0.17,9,365,9/23/2019,Beijing,China,"39.8939501868, 116.484460772"
26117102,185601527,Chaoyang,Entire home/apt,427,1,12,9/8/2019,0.78,4,171,9/23/2019,Beijing,China,"39.9732188304, 116.443266342"
26138106,196482736,Chaoyang,Entire home/apt,589,1,1,7/5/2018,0.07,1,180,9/23/2019,Beijing,China,"39.9007659382, 116.47130307"
26200181,186934131,Chaoyang,Entire home/apt,461,1,0,,,2,365,9/23/2019,Beijing,China,"39.8943187451, 116.505395983"
26254008,31280856,Chaoyang,Shared room,100,1,9,10/19/2018,0.6,37,365,9/23/2019,Beijing,China,"39.9978461898, 116.472567802"
26270055,180999814,Chaoyang,Entire home/apt,697,1,1,10/7/2018,0.08,5,175,9/23/2019,Beijing,China,"40.0432547879, 116.429402978"
26297999,197621727,Chaoyang,Private room,184,1,3,9/10/2018,0.21,1,0,9/23/2019,Beijing,China,"39.9840331444, 116.384782246"
26310138,194016414,Chaoyang,Private room,142,1,0,,,15,364,9/23/2019,Beijing,China,"39.9008609438, 116.497737597"
26400869,198534929,Chaoyang,Private room,121,1,8,9/24/2018,0.62,1,0,9/23/2019,Beijing,China,"39.987317916, 116.428340334"
26460673,154464228,Chaoyang,Entire home/apt,482,5,0,,,1,0,9/23/2019,Beijing,China,"39.9534883349, 116.438580514"
26463512,147034342,Chaoyang,Entire home/apt,661,1,5,2/25/2019,0.35,9,84,9/23/2019,Beijing,China,"39.8970210434, 116.486212637"
26493584,108820339,Chaoyang,Private room,199,2,38,9/5/2019,2.56,1,172,9/23/2019,Beijing,China,"39.8956066943, 116.458156476"
26574877,166271181,Chaoyang,Shared room,107,1,1,11/20/2018,0.1,2,365,9/23/2019,Beijing,China,"39.9162098044, 116.517966188"
26576056,170200627,Chaoyang,Private room,269,1,20,11/5/2018,1.37,2,0,9/23/2019,Beijing,China,"39.9221159963, 116.445544521"
26671636,200510720,Chaoyang,Private room,206,1,3,7/27/2018,0.21,4,0,9/23/2019,Beijing,China,"39.9003667203, 116.473447598"
